t1 t167 t4 t1 t36 t3 t21 ||| t1 t167 t4 t1 t36 t3 t21 ||| 0.4 0.0188867 1 0.0188963 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 5 2 2
t1 t167 t4 t1 t36 t36 t3 ||| t1 t167 t4 t1 t36 t36 t3 ||| 1 0.0260309 0.5 0.0253673 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 2 4 2
t1 t167 t4 t1 t36 t36 ||| t1 t167 t4 t1 t36 t36 ||| 0.666667 0.0343465 0.333333 0.0341309 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 3 6 2
t1 t167 t4 t1 ||| t1 t167 t13 t30 ||| 0.666667 0.00316165 0.0107527 0.000515048 2.718 ||| 0-0 1-1 2-2 3-3 ||| 3 186 2
t1 t167 t4 t29 t4 ||| t1 t167 t4 t29 t4 ||| 0.666667 0.0515551 1 0.0707148 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 2 2
t1 t167 t4 t3 t21 t38 t26 ||| t1 t167 t4 t3 t21 t38 t26 ||| 1 0.0175224 0.5 0.017374 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 2 4 2
t1 t167 t4 t3 t21 t38 ||| t1 t167 t4 t3 t21 t38 ||| 1 0.0206234 0.4 0.0185671 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 2 5 2
t1 t167 t60 t3 ||| t1 t167 t60 t3 ||| 0.428571 0.0658572 0.75 0.069737 2.718 ||| 0-0 1-1 2-2 3-3 ||| 7 4 3
t1 t167 t76 t77 t3 t28 tco ||| t1 t167 t76 t275 t76 t29 t28 ||| 0.5 2.65532e-05 1 8.70303e-06 2.718 ||| 0-0 1-1 2-2 3-3 3-4 4-5 5-6 ||| 4 2 2
t1 t167 t76 t77 t3 t28 ||| t1 t167 t76 t275 t76 t29 t28 ||| 0.5 0.00059053 1 8.70303e-06 2.718 ||| 0-0 1-1 2-2 3-3 3-4 4-5 5-6 ||| 4 2 2
t1 t167 t76 t77 t3 ||| t1 t167 t76 t275 t76 t29 ||| 1 0.0011939 0.285714 1.65507e-05 2.718 ||| 0-0 1-1 2-2 3-3 3-4 4-5 ||| 2 7 2
t1 t167 t76 t77 ||| t1 t167 t76 t275 t76 ||| 1 0.0129461 0.0833333 0.000311327 2.718 ||| 0-0 1-1 2-2 3-3 3-4 ||| 2 24 2
t1 t167 t98 t130 t3 ||| t1 t167 t98 t130 t29 ||| 0.666667 0.00498978 1 0.00285245 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 2 2
t1 t167 t98 t431 tco t1 ||| t1 t167 t98 t99 t1 ||| 0.333333 0.000106254 1 0.0196304 2.718 ||| 0-0 1-1 2-2 3-3 4-3 5-4 ||| 6 2 2
t1 t167 t98 t431 tco ||| t1 t167 t98 t99 ||| 0.133333 0.000163011 1 0.0285354 2.718 ||| 0-0 1-1 2-2 3-3 4-3 ||| 15 2 2
t1 t167 ||| t1 t121 t167 ||| 0.666667 0.155466 0.000963855 6.95439e-05 2.718 ||| 0-0 1-1 1-2 ||| 3 2075 2
